19	37	29	36	1	1	1	27	24	35	1	27	26	1	34	25	1	23	29	19	1	32	1	1	1	32	1	22	1	18	1	1	1	29	1	19	1
34	33	18	26	17	1	29	18	32	35	28	31	15	1	26	23	1	24	1	29	1	36	1	36	18	1	18	24	1	15	1	1	1	1	1	18	1
1	31	18	31	23	25	1	28	30	34	20	25	34	22	1	1	21	1	29	33	23	1	37	1	1	1	25	1	34	1	1	1	18	1	1	1	1
20	30	19	35	16	1	32	1	21	36	25	29	24	1	30	1	1	37	27	33	1	33	16	16	1	21	1	1	25	1	1	1	1	1	28	21	1
36	19	1	24	1	1	1	22	18	27	34	27	21	1	27	36	24	31	1	27	24	35	1	1	15	31	15	15	31	19	1	1	1	22	1	1	1
18	29	14	31	19	1	1	29	1	22	20	22	22	33	1	22	1	27	1	31	33	28	37	20	22	1	1	1	15	35	15	1	1	15	1	36	1
37	31	17	20	26	27	33	1	27	20	1	32	27	1	1	1	1	35	24	20	25	27	14	14	18	36	1	1	1	33	18	1	1	1	14	20	1
35	33	21	1	23	1	1	1	37	34	27	36	27	1	27	30	19	30	1	21	24	30	1	25	25	1	1	1	1	1	1	19	1	1	1	1	1
34	35	1	1	32	1	1	26	22	29	1	1	1	30	1	24	1	26	22	26	37	31	35	1	25	1	1	1	1	1	1	1	32	1	1	1	1
19	30	1	21	17	1	25	1	22	19	26	26	1	30	28	1	28	1	15	22	24	34	1	37	1	35	1	1	30	30	15	36	1	1	1	17	1
30	28	20	29	25	27	1	1	31	31	1	14	14	20	23	14	17	20	23	1	31	36	1	1	1	19	1	37	35	17	1	25	1	31	1	1	1
34	33	1	29	23	1	23	1	31	1	1	26	1	1	1	29	1	35	37	1	31	1	25	27	1	35	1	27	1	1	1	1	1	1	1	1	1
35	22	25	29	35	22	31	30	33	26	37	22	19	1	33	1	1	31	1	19	26	19	1	1	1	26	1	1	1	1	1	1	1	1	1	18	1
36	35	1	19	33	1	1	37	1	23	26	22	19	1	1	1	32	21	15	34	27	31	15	30	1	23	17	1	27	29	1	1	1	17	1	23	1
37	19	20	27	33	1	1	32	16	1	23	29	23	1	27	33	1	1	22	33	23	29	1	33	16	29	16	1	1	1	1	1	1	20	1	26	1
26	22	27	1	35	1	1	34	1	35	17	1	20	1	1	31	29	33	1	31	27	23	37	17	1	24	1	21	29	24	1	1	1	1	1	17	1
18	36	18	32	24	1	1	25	25	28	1	31	1	34	1	1	18	16	29	29	1	18	13	13	1	18	32	1	25	16	1	1	36	1	15	35	23
27	27	1	36	24	20	30	24	12	23	15	36	1	15	33	1	30	24	1	18	29	35	1	20	1	33	15	1	1	1	18	30	12	1	1	12	20
19	37	19	30	1	23	1	14	32	35	22	27	14	34	1	14	1	26	1	24	36	31	19	1	1	17	1	1	1	17	24	27	27	32	1	1	1
31	25	25	24	21	16	31	20	37	31	1	25	18	1	25	13	25	35	13	21	18	36	1	34	1	1	21	1	13	16	1	1	1	1	25	1	1
18	37	16	36	1	19	27	1	29	25	20	16	13	32	32	25	20	1	1	27	35	1	13	13	1	23	31	29	1	24	20	1	1	32	1	1	1
16	16	25	27	21	34	25	14	19	1	24	1	14	28	1	13	36	29	1	29	35	29	36	1	1	29	1	21	1	16	29	1	1	19	21	1	1
37	1	1	33	25	1	1	1	26	29	1	27	30	36	1	33	21	1	1	1	1	28	30	30	1	1	1	1	23	1	21	1	35	1	1	23	1
36	27	27	27	30	1	1	32	16	33	23	1	18	1	15	35	23	23	13	18	16	22	1	31	37	13	1	1	26	33	1	18	18	1	1	1	1
15	34	15	23	36	18	32	35	26	29	22	23	1	1	21	1	1	31	29	1	1	32	14	1	1	18	1	1	26	25	15	18	1	26	1	1	36
