"Azerbaijan"	"Denmark"	"France"	"Germany"	"Greece"	"Iceland"	"Ireland"	"Moldova"	"Romania"	"Russia"	"Spain"	"Ukraine"	"United Kingdom"	"Bosnia and Herz."	"Estonia"	"Georgia"	"Hungary"	"Italy"	"Lithuania"	"Norway"	"Serbia"	"Sweden"	"Albania"	"Armenia"	"Belarus"	"Belgium"	"Cyprus"	"Finland"	"Malta"	"Turkey"	"Austria"	"Israel"	"Macedonia"	"Netherlands"	"Portugal"	"Slovenia"	"Switzerland"
"Denmark"	2	0	7	10	6	4	8	7	4.3	7.5	0	3	3	0	2	0	0	3	0	8.5	0	10	5	0	0	7.5	1	3.5	4	4	1	0	0	10	4	7	0
"Estonia"	8	6.2	1	11	0	5.3	2	0	1	8.8	4	5.5	5	0	0	5.5	4	6.5	3	5	0	8.3	0	0	0	2.5	0	7	5	6	0	0	0	7	0	2	0
"Finland"	5	4.7	6	6.5	4	6.2	5	0	0	5	3.5	0	0	0	7.7	0	11	3	0	12	2	7.3	6	0	0	4.5	0	0	0	3	1	10	0	8	0	0	0
"France"	7	9.5	0	4.3	4	0	0	4	1.5	5	9	2	1	5	10	0	2	6.3	3	0	9	11	0	6.5	0	6	0	3	2	8.5	0	1	0	0	8	0	0
"Georgia"	9.5	7	2	2	3.5	0	0	3	0	5	2	7.8	3	0	0	0	0	4.3	8.3	5	0	4.5	3	10	8.5	0	0	0	3	6	3	4	0	0	0	0	0
"Germany"	4	7	3	0	6.2	5	5	4	0	4.7	0	0	0	7	4	0	12	2.5	0	7	7.5	7.5	3.5	7	0	12	0	1.5	5	9	12	0	0	0	6	1	0
"Greece"	5.8	7	10	3	0	3	0	2	7	2.5	0	5.3	2	3	0	6	2	6.3	0	4	8	6	10	7	1	6	12	0	3	0	0	0	0	0	0	0	0
"Hungary"	9.5	10	0	10	4.5	8	0	2	1	5	1	7	0	0	0	5	0	4.5	0	2	4	11	8	3	0	4	0	0	8	3	2	0	0	5	0	6	0
"Iceland"	6.3	10.2	4.7	4.5	8	0	4	0	5.5	3	2	3	2	0	10	2	5	3	0	5.5	3	7.7	7	0	0	10	8	10	5	0	0	0	0	8	1	0	0
"Ireland"	2	12	6	9	0	0	0	5.5	4.3	8	0	5.5	5.2	0	7.5	5	0	3.5	6	2	0	7	0	0	0	7	0	3	0	1	0	0	0	6	0	2	0
"Israel"	7.8	7.3	3	5	2	0	6	3	6.7	8	5.5	6.3	1	0	5	3.5	0	4	0	6	0	12	0	12	3	0	3	4	0	1	0	0	0	0	0	3	0
"Italy"	0	7	1	7	4.5	5	0	5.3	6.7	10	2	5	10	4	0	0	3	0	6	8	4.5	0	12	0	0	0	5	0	10	0	0	0	1	0	0	0	0
"Latvia"	2.3	7.3	2	9	1	0	7.5	0	3	10	5	6.7	3.5	0	7.3	0	0	12	5.5	8	0	8	1	1	0	3	0	0	5	0	0	0	0	0	6	3	0
"Lithuania"	10.7	2.5	0	5	0	0	0	4	2	6	8	6	3	0	6	10.7	5	7	0	6	5	10	0	0	1	7	1	1	7	2.5	0	0	0	4	0	0	0
"Macedonia"	2.5	7	1	8	3.5	0	0	7	0	5	4	5	5	8.3	0	5	0	5.3	0	8	8.3	6	12	4	5	0	0	0	2	9	2	0	0	2	0	10	0
"Malta"	12	6.3	1.5	3	5.5	6	8	0	6	3	0	7	6	0	0	0	0	9.3	4	3	5	6	1	1	2	10	0	0	0	8	2	0	0	0	1	3	0
"Moldova"	8.8	6	2	0	2.3	0	0	0	11.5	7	4	9	4	0	4	5	1	5	0	2	3	5	0	3.5	3.5	0	0	0	0	0	0	1	0	0	0	0	0
"Montenegro"	8.5	10	0	0	8	0	0	4	1	5.5	0	0	0	6	0	2	0	4	1	4	12	7	10	0	3	0	0	0	0	0	0	0	8	0	0	0	0
"Netherlands"	4	8	0	4.3	2	0	5	0	4.5	4	6	6	0	8	7	0	7	0	1	4.5	4.7	8.3	0	12	0	9	0	0	8	8	1	10	0	0	0	2	0
"Norway"	7	6	4	6.7	5	5.8	0	0	8	8	0	1	1	4	4.5	1	2	4	4.5	0	8	11.3	0	0	0	3	0	12	10	2	0	5	0	8	0	0	0
"Poland"	8	7.5	0	5.5	1	0	1	0	6	0	0	2.5	0	0	0	5.5	0	10	12	0	6	0	2	5	0	10	0	5	0	0	0	0	0	0	0	0	0
"Portugal"	8	4	4.5	5.5	8	4	6	5.7	7	5	12	4	3	0	7	0	0	6	0	3	5	3	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0
"Romania"	10	9	0	3	7.5	0	0	11.5	0	4	4.3	3.7	3	0	0	0	7	3.5	1	8	5	6.5	1	6	0	4	2	0	5	5.5	0	0	0	2	0	4	0
"Russia"	10.5	2.5	3	6	7	0	0	6.7	2	0	4	6.5	4	0	6	7	0	0	3.5	7	4	6.5	0	7	2	6.5	2	0	0	0	0	0	0	3	0	5	0
"San Marino"	5.3	4	5.5	0	10	0	0	8	0	10	1	0	2	0	0	7	6	7.7	0	7	5.5	4.5	12	1	0	5	0	3	6	5	0	0	0	0	0	1	0
"Serbia"	4	12	4	8	5.7	0	0	6	6	6.3	0	7.7	0	9.7	0	0	4	3	7	7	0	4	1	1	0	4	8	0	6	3	0	0	12	0	2	10	5
"Slovakia"	6.5	6.5	0	12	5	4	8	5	1	4.5	2	12	0	2	10	0	8	5	0	3	7	11	0	4	0	10	2	0	0	0	3	8	1	0	0	1	4
"Slovenia"	3	10.7	3	6.3	0	4	0	1	7	9	3.5	6	1	7.7	0	1	0	5.3	0	5	10	6.7	3	0	0	2	0	0	0	2	5	6	6	7	0	0	0
"Spain"	7	6	6	5.2	5	3	7	4.5	9.3	7	0	6	4	0	6	1	6	8.3	1	5	4	8.5	0	8	0	0	5	0	1	3	0	0	0	0	6	0	0
"Sweden"	3	9.3	2	9	0	3.5	6.3	0	7	6	4	2	1	8	8	6	4	0	0	6.3	8.5	0	1	1	0	4.5	7.5	7	0	5.5	4	0	0	8	0	0	0
"Switzerland"	3	3	6	6.2	5	7.5	6	2	4	0	5.5	0	2	6.5	0	1	10	7	0	7	8.7	7	10	0	0	7	0	5	0	3	7	0	0	4	5	0	0
"Turkey"	12	0	0	6.5	3	0	0	0	3.7	5.5	0	4	6	9.3	0	6.5	1	0	0	0	0	5	6	6	0	0	0	0	2	0	1	0	8	0	0	2	0
"Ukraine"	11	5	5	5	5.5	0	0	7.7	2	8	4	0	3	0	1.5	8.7	4	4	1	3	2	3.5	0	6	12	1	0	0	4.5	8	0	3	3	0	0	0	0
"United Kingdom"	2	7.7	2	5	10	3	7.5	8	6	6.5	4.5	5	0	0	4	0	0	7	6.5	0	0	7.5	1	0	0	3	0	0	6	5.5	2	3	0	6	0	0	10
